D1056,Changxuan6,modern cultivar,2001,japonica,Jilin,NE,11.3,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534530/CRR1534530_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534530/CRR1534530_r2.fq.gz
D3575,Erjiunan2,modern cultivar,2001,indica,Zhejiang,CC-I,12.28,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537242/CRR1537242_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537242/CRR1537242_r2.fq.gz
D3190,Fujiandao,modern cultivar,2001,indica,Fujian,SC,13.02,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536817/CRR1536817_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536817/CRR1536817_r2.fq.gz
D2034,Hongyou1,modern cultivar,2001,indica,Yunnan,SW-I,13.99,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535590/CRR1535590_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535590/CRR1535590_r2.fq.gz
D2033,Yunxian2,modern cultivar,2001,indica,Yunnan,SW-I,13.57,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535589/CRR1535589_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535589/CRR1535589_r2.fq.gz
D3187,Jinzao7,modern cultivar,2001,indica,Fujian,SC,11.28,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536813/CRR1536813_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536813/CRR1536813_r2.fq.gz
D1090,Jinuo01,modern cultivar,2001,japonica,Jilin,NE,14.58,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534563/CRR1534563_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534563/CRR1534563_r2.fq.gz
D1166,Beile7,modern cultivar,2004,japonica,Liaoning,NE,13.08,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534657/CRR1534657_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534657/CRR1534657_r2.fq.gz
D1044,Ji90-0840,modern cultivar,2004,japonica,Jilin,NE,15.14,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534517/CRR1534517_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534517/CRR1534517_r2.fq.gz
D1112,Nongda45,modern cultivar,2006,japonica,Jilin,NE,13.65,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534604/CRR1534604_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534604/CRR1534604_r2.fq.gz
D3481,Fu769,modern cultivar,2006,indica,Zhejiang,CC-I,10.47,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537143/CRR1537143_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537143/CRR1537143_r2.fq.gz
D2893,Shen97B,modern cultivar,2007,indica,Guangdong,SC,18.5,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536534/CRR1536534_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536534/CRR1536534_r2.fq.gz
D2419,Mahuazhan,modern cultivar,2007,indica,Jiangxi,CC-I,11.73,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536015/CRR1536015_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536015/CRR1536015_r2.fq.gz
D2475,Yujinxiang,modern cultivar,2007,japonica,Hunan,CC-J,11.21,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536074/CRR1536074_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536074/CRR1536074_r2.fq.gz
D1508,Hefengnuo778,modern cultivar,2007,japonica,Shandong,NC,13.42,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535018/CRR1535018_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535018/CRR1535018_r2.fq.gz
D3237,ZhenD-1,modern cultivar,2007,indica,Fujian,CC-I,12.58,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536866/CRR1536866_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536866/CRR1536866_r2.fq.gz
D2897,R795,modern cultivar,2007,indica,Guangdong,CC-I,15.09,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536538/CRR1536538_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536538/CRR1536538_r2.fq.gz
