Sample_ID	PlantHeight_BLUP_effect	PlantHeight_BLUP	HeadingDate_BLUP_effect	HeadingDate_BLUP	YieldPerPlant_BLUP_effect	YieldPerPlant_BLUP
D3860	-0.795578055892479	97.3588789876812	3.381125747323922	89.67882870587681	-3.66746241510971	16.348753825710826
D3854	5.474613820467584	103.62907086404125	5.757535397729566	92.05523835628246	-2.218985040162907	17.79723120065763
D3957	7.91286277038687	106.06731981396054	5.076111820988211	91.3738147795411	2.2998072857137415	22.316023526534277
D3984	7.326434617449525	105.4808916610232	0.9875703605400531	87.28527331909294	-0.333961041978106	19.68225519884243
D3850	10.577783511422913	108.73224055499658	3.7132646675055065	90.0109676260584	-1.7057046096360464	18.31051163118449
D3845	9.512856133624277	107.66731317719795	6.575243689819227	92.87294664837212	-1.5506939196169336	18.465522321203604
D3839	3.6683210705141573	101.82277811408782	4.667257674943404	90.96496063349629	-0.5343986671737475	19.48181757364679
D3953	7.775673714973425	105.9301307585471	11.270572522786807	97.5682754813397	-1.2109022746081515	18.805313966212385
D1563	-16.299327520370664	81.855129523203	1.6128328416201092	87.910535800173	0.7427689545789292	20.758985195399465
D3848	11.754229832914323	109.90868687648799	7.483638070564647	93.78134102911754	-1.3341395801482991	18.682076660672237
D3976	21.12182110310752	119.2762781466812	17.424341007647897	103.72204396620079	-0.23874913919027532	19.77746710163026
D3846	10.59977316229191	108.75423020586558	6.984097835864045	93.28180079441694	-2.607025045641215	17.40919119517932
D3968	14.290893129588042	112.44535017316171	13.164039748897956	99.46174270745084	-1.4654893681494754	18.55072687267106
D3955	19.114480116637548	117.26893716021122	17.424341007647847	103.72204396620074	-0.16996956149967588	19.84624667932086
D3835	3.706055256607147	101.86051230018082	0.16986206845042154	86.46756502700332	-0.5806731688209265	19.43554307199961
D3954	10.203959446649923	108.35841649022359	14.584140168481225	100.88184312703412	-0.6339750706959594	19.382241170124576
D3856	3.3151031546489222	101.4695601982226	3.8495493828537697	90.14725234140666	-3.969473703567592	16.046742537252946
D3867	12.325960755508211	110.48041779908188	10.323838909731265	96.62154186828415	-3.002250977146898	17.01396526367364
D3852	12.892979610058866	111.04743665363253	4.327859360379468	90.62556231893235	-1.3443551865451353	18.6718610542754
D3961	8.989816580811684	107.14427362438536	13.795195490934914	100.0928984494878	-1.7837232350761292	18.23249300574441
D1383	-12.437145423204942	85.71731162036873	4.876315881157255	91.17401883971014	1.0093501415261026	21.02556638234664
D3853	7.832218531493704	105.98667557506738	6.711528405167454	93.00923136372035	-2.618317215112806	17.39789902570773
D3855	5.306515423998655	103.46097246757233	3.849549382853768	90.14725234140666	-4.927461547044055	15.088754693776483
D2000	20.13353805796474	118.28799510153841	32.11968363582512	118.417386594378	-3.6735078238451835	16.342708416975352
D3840	5.412398284945675	103.56685532851935	2.4867022293710512	88.78440518792394	-0.9614477344009776	19.05476850641956
D3975	-12.297188944731664	85.85726809884201	-18.092289788218	68.2054131703349	-4.2915959522001055	15.724620288620432
D1303	-9.963685590905108	88.19077145266857	-2.7473910639589527	83.55031189459393	-4.817791035957653	15.198425204862884
D3977	1.007573315365374	99.16203035893905	12.690672942370153	98.98837590092305	-6.636276425277079	13.379939815543459
D1255	-4.434244536154902	93.72021250741876	4.304234950634198	90.60193790918709	4.082409347182549	24.098625588003085
D3406	9.975113218822921	108.1295702623966	29.760998481736845	116.05870144028974	-1.3989641327198121	18.617252108100725
D3405	8.200438828461653	106.35489587203533	29.760998481736863	116.05870144028975	-2.2576601099106606	17.758556130909877
D3423	1.059487114865055	99.21394415843872	18.075885273646676	104.37358823219957	0.5746198625886667	20.590836103409202
D3404	42.36850953579633	140.52296657937	35.80315625195522	122.1008592105081	0.32539492898189043	20.341611169802427
D2386	18.841390226309667	116.99584726988334	23.174367128831605	109.4720700873845	0.016422510340485606	20.032638751161024
D2385	29.13467736454133	127.289134408115	27.93728832166984	114.23499128022273	-3.5590018436666435	16.457214397153894
D2427	8.12330960749836	106.27776665107203	27.21312447800227	113.51082743655516	-2.3742621518195266	17.64195408900101
D2123	32.6988059159172	130.85326295949088	22.87162310770801	109.16932606626091	-0.2042149371279434	19.812001303692593
D3530	24.772406362647416	122.92686340622109	21.443261740576915	107.7409646991298	1.5224978982278075	21.538714139048345
