samples	Plant_height
ZJN1574	93.33
ZJN1577	113.0
ZJN1578	102.67
ZJN1579	96.33
ZJN1580	90.5
ZJN1581	103.33
ZJN1582	105.0
ZJN1583	120.0
ZJN1584	117.33
ZJN1585	111.0
ZJN1589	116.0
ZJN1590	124.0
ZJN1591	128.0
ZJN1592	130.0
ZJN1593	118.67
ZJN1594	122.0
ZJN1598	119.0
ZJN1599	111.67
ZJN1601	122.0
ZJN1603	102.33
ZJN1604	107.33
ZJN1608	117.33
ZJN1610	116.0
ZJN1612	127.0
ZJN1613	125.0
ZJN1614	130.0
ZJN1619	115.0
ZJN1620	115.33
ZJN1622	121.33
ZJN1623	118.0
ZJN1624	116.67
ZJN1625	110.67
ZJN1627	111.67
ZJN1628	119.67
ZJN1631	123.0
ZJN1634	116.67
ZJN1641	106.33
ZJN1643	96.0
ZJN1644	116.0
ZJN1657	129.67
ZJN1658	127.67
ZJN1661	107.67
ZJN1662	104.33
ZJN1663	112.0
ZJN1666	108.0
ZJN1668	113.0
ZJN1672	113.67
ZJN1674	115.0
ZJN1676	141.33
ZJN1681	114.33
ZJN1682	116.33
ZJN1685	138.67
ZJN1686	108.33
ZJN1688	115.33
ZJN1690	113.33
ZJN1694	111.33
ZJN1696	116.33
ZJN1698	116.33
ZJN1700	121.67
ZJN1702	133.0
ZJN1703	117.0
ZJN1705	133.0
ZJN1710	122.0
ZJN1714	120.0
ZJN1715	112.0
ZJN1716	119.67
ZJN1718	113.67
ZJN1721	121.33
ZJN1722	118.67
ZJN1724	117.67
ZJN1727	126.67
ZJN1728	129.33
