samples	Yield_per_plant
ZJN612	33.4
ZJN613	39.65
ZJN614	45.66
ZJN615	40.44
ZJN622	46.23
ZJN625	35.59
ZJN627	31.1
ZJN638	41.67
ZJN645	38.0
ZJN646	42.57
ZJN647	29.76
ZJN651	32.02
ZJN657	23.45
ZJN659	40.17
ZJN661	36.57
ZJN663	30.28
ZJN669	37.14
ZJN670	33.5
ZJN672	54.78
ZJN681	45.29
ZJN683	32.49
ZJN684	46.43
ZJN685	35.83
ZJN687	40.49
ZJN688	24.75
ZJN690	28.27
ZJN691	36.73
ZJN693	45.02
ZJN694	31.91
ZJN695	23.52
ZJN697	43.41
ZJN698	30.38
ZJN705	41.33
ZJN716	45.69
ZJN717	54.35
ZJN718	56.19
ZJN723	32.57
ZJN724	39.38
ZJN726	42.41
ZJN733	53.15
ZJN734	47.02
ZJN737	48.62
ZJN741	44.1
ZJN742	23.87
ZJN743	41.18
ZJN744	38.54
ZJN745	29.2
ZJN747	59.86
ZJN748	48.91
ZJN749	33.26
ZJN750	32.22
ZJN751	54.08
ZJN754	55.61
ZJN758	33.1
ZJN759	35.05
ZJN760	29.19
ZJN761	48.55
ZJN763	44.35
ZJN768	42.51
ZJN771	43.07
ZJN772	56.27
ZJN773	51.26
ZJN774	30.85
ZJN775	39.49
ZJN777	35.93
ZJN779	41.91
ZJN780	49.13
ZJN781	43.48
ZJN784	45.47
ZJN786	22.48
ZJN787	23.79
ZJN793	50.93
ZJN794	31.26
ZJN796	29.87
ZJN801	49.44
ZJN803	56.14
ZJN805	24.58
ZJN807	30.69
ZJN813	33.53
ZJN814	45.57
ZJN816	33.36
ZJN817	47.43
ZJN818	38.24
ZJN821	38.96
ZJN822	55.9
ZJN825	41.06
ZJN827	46.23
ZJN829	45.29
ZJN831	32.08
ZJN833	41.35
ZJN835	41.24
ZJN836	36.4
ZJN840	43.58
ZJN841	48.0
ZJN843	40.82
ZJN845	68.1
ZJN847	33.7
ZJN849	39.16
ZJN850	47.97
ZJN853	49.1
ZJN854	33.16
ZJN856	39.32
ZJN859	43.21
ZJN860	30.71
ZJN862	53.34
ZJN863	50.93
ZJN865	29.43
ZJN866	30.01
ZJN869	43.26
ZJN871	39.14
ZJN872	47.99
ZJN877	29.28
ZJN878	32.86
ZJN879	48.08
ZJN880	35.17
ZJN881	28.09
ZJN885	44.49
ZJN887	33.15
ZJN891	39.64
ZJN896	27.6
ZJN898	62.96
ZJN899	32.87
ZJN900	35.51
ZJN901	33.75
ZJN906	44.32
ZJN910	45.75
ZJN915	40.9
ZJN916	36.3
ZJN917	20.93
ZJN918	43.44
ZJN921	29.01
ZJN923	25.68
ZJN926	22.08
