samples	Seed_setting_rate
ZJN1556	0.79
ZJN1558	0.83
ZJN1559	0.79
ZJN1562	0.67
ZJN1564	0.7
ZJN1568	0.62
ZJN1570	0.66
ZJN1571	0.83
ZJN1572	0.7
ZJN1573	0.6
ZJN1574	0.7
ZJN1577	0.65
ZJN1578	0.81
ZJN1579	0.73
ZJN1580	0.82
ZJN1581	0.9
ZJN1582	0.74
ZJN1583	0.83
ZJN1584	0.72
ZJN1585	0.68
ZJN1589	0.76
ZJN1590	0.84
ZJN1591	0.81
ZJN1592	0.89
ZJN1593	0.71
ZJN1594	0.82
ZJN1598	0.83
ZJN1599	0.79
ZJN1601	0.75
ZJN1603	0.69
ZJN1604	0.65
ZJN1608	0.78
ZJN1610	0.76
ZJN1612	0.84
ZJN1613	0.71
ZJN1614	0.49
ZJN1619	0.83
ZJN1620	0.87
ZJN1622	0.71
ZJN1623	0.88
ZJN1624	0.62
ZJN1625	0.5
ZJN1627	0.83
ZJN1628	0.88
ZJN1631	0.77
ZJN1634	0.85
ZJN1641	0.53
ZJN1643	0.88
ZJN1644	0.86
ZJN1657	0.79
ZJN1658	0.74
ZJN1661	0.79
ZJN1662	0.81
ZJN1663	0.59
ZJN1666	0.82
ZJN1668	0.7
ZJN1672	0.43
ZJN1674	0.54
ZJN1676	0.89
ZJN1681	0.7
ZJN1682	0.76
ZJN1685	0.73
ZJN1686	0.86
ZJN1688	0.79
ZJN1690	0.66
ZJN1694	0.24
ZJN1696	0.63
ZJN1698	0.67
ZJN1700	0.71
ZJN1702	0.65
ZJN1703	0.86
ZJN1705	0.75
ZJN1710	0.79
ZJN1714	0.86
ZJN1715	0.72
ZJN1716	0.69
ZJN1718	0.7
ZJN1721	0.76
ZJN1722	0.84
ZJN1724	0.64
ZJN1727	0.79
ZJN1728	0.64
