samples	Seed_setting_rate
ZJM1147	0.83
ZJM1148	0.84
ZJM1149	0.79
ZJM1153	0.81
ZJM1154	0.81
ZJM1155	0.83
ZJM1159	0.83
ZJM1160	0.89
ZJM1162	0.87
ZJM1163	0.85
ZJM1166	0.76
ZJM1168	0.86
ZJM1169	0.77
ZJM1172	0.82
ZJM1173	0.83
ZJM1174	0.89
ZJM1179	0.83
ZJM1181	0.78
ZJM1182	0.77
ZJM1183	0.93
ZJM1186	0.86
ZJM1187	0.81
ZJM1188	0.83
ZJM1190	0.86
ZJM1192	0.87
ZJM1193	0.73
ZJM1195	0.86
ZJM1196	0.71
ZJM1198	0.6
ZJM1199	0.83
ZJM1201	0.76
ZJM1202	0.87
ZJM1206	0.9
ZJM1207	0.84
ZJM1211	0.88
ZJM1213	0.86
ZJM1214	0.92
ZJM1215	0.87
ZJM1219	0.72
ZJM1227	0.75
ZJM1228	0.82
ZJM1230	0.84
ZJM1231	0.89
ZJM1234	0.86
ZJM1235	0.65
ZJM1237	0.8
ZJM1241	0.85
ZJM1244	0.83
ZJM1256	0.9
ZJM1259	0.92
ZJM1262	0.87
ZJM1270	0.87
ZJM1272	0.73
ZJM1276	0.88
ZJM1288	0.89
ZJM1291	0.92
ZJM1297	0.91
ZJM1302	0.77
ZJM1318	0.62
ZJM1319	0.71
ZJM1321	0.72
ZJM1324	0.82
ZJM1325	0.77
ZJM1332	0.77
ZJM1335	0.73
ZJM1337	0.71
ZJM1341	0.7
ZJM1344	0.84
ZJM1347	0.73
ZJM1351	0.69
ZJM1373	0.71
ZJM1376	0.66
ZJM1377	0.82
ZJM1381	0.91
ZJM1388	0.82
ZJM1393	0.66
ZJM1412	0.78
ZJM1426	0.84
ZJM1439	0.74
ZJM1441	0.69
ZJM1442	0.8
ZJM1450	0.84
ZJM1457	0.77
ZJM1484	0.6
ZJM1485	0.89
ZJM1486	0.93
ZJN1	0.91
ZJN2	0.72
ZJN12	0.72
ZJN14	0.88
ZJN17	0.81
ZJN19	0.84
ZJN23	0.85
ZJN25	0.83
ZJN28	0.76
ZJN35	0.86
ZJN48	0.76
ZJN53	0.62
ZJN56	0.88
ZJN61	0.88
ZJN64	0.84
ZJN65	0.77
ZJN69	0.84
ZJN71	0.9
ZJN80	0.88
ZJN81	0.91
ZJN86	0.92
ZJN87	0.91
ZJN88	0.83
ZJN94	0.67
ZJN95	0.79
ZJN96	0.7
ZJN101	0.63
ZJN103	0.64
ZJN104	0.8
ZJN107	0.87
ZJN108	0.83
ZJN110	0.92
ZJN113	0.84
ZJN115	0.79
ZJN121	0.8
ZJN122	0.72
ZJN123	0.75
ZJN125	0.83
ZJN126	0.71
ZJN132	0.8
ZJN134	0.8
ZJN136	0.75
ZJN139	0.71
ZJN140	0.94
ZJN144	0.76
ZJN145	0.77
ZJN150	0.77
ZJN151	0.82
ZJN152	0.65
ZJN154	0.7
ZJN155	0.88
ZJN156	0.4
ZJN157	0.82
ZJN158	0.73
ZJN162	0.78
ZJN163	0.92
ZJN166	0.86
ZJN170	0.89
ZJN171	0.8
ZJN174	0.86
ZJN179	0.89
ZJN180	0.9
ZJN182	0.64
ZJN191	0.7
ZJN192	0.83
ZJN195	0.92
ZJN196	0.86
ZJN201	0.83
ZJN206	0.8
ZJN208	0.77
ZJN211	0.87
ZJN214	0.82
ZJN215	0.89
ZJN218	0.89
ZJN219	0.92
ZJN220	0.79
ZJN222	0.79
ZJN223	0.83
ZJN225	0.86
ZJN231	0.85
ZJN232	0.76
ZJN233	0.83
ZJN236	0.9
ZJN240	0.7
ZJN241	0.89
ZJN244	0.74
ZJN247	0.95
ZJN249	0.9
ZJN251	0.93
ZJN253	0.25
ZJN258	0.92
ZJN260	0.81
ZJN262	0.83
ZJN266	0.89
ZJN267	0.83
ZJN270	0.78
ZJN271	0.91
ZJN274	0.89
ZJN276	0.79
ZJN283	0.81
ZJN285	0.9
ZJN287	0.86
ZJN301	0.75
ZJN304	0.59
ZJN307	0.66
ZJN309	0.92
ZJN311	0.81
ZJN313	0.74
ZJN315	0.74
ZJN316	0.69
ZJN319	0.74
ZJN321	0.76
ZJN322	0.76
ZJN323	0.76
ZJN324	0.65
ZJN328	0.87
ZJN331	0.87
ZJN332	0.78
ZJN333	0.92
ZJN334	0.88
ZJN335	0.87
ZJN337	0.81
ZJN338	0.63
ZJN339	0.66
ZJN341	0.73
ZJN344	0.82
ZJN345	0.84
ZJN346	0.77
ZJN348	0.87
ZJN349	0.77
ZJN351	0.65
ZJN353	0.74
ZJN356	0.89
ZJN363	0.84
ZJN372	0.59
ZJN376	0.71
ZJN377	0.6
ZJN378	0.73
ZJN380	0.87
ZJN381	0.84
ZJN382	0.82
ZJN387	0.77
ZJN394	0.81
ZJN396	0.78
ZJN397	0.66
ZJN398	0.74
ZJN399	0.73
ZJN402	0.71
ZJN403	0.76
ZJN409	0.59
ZJN410	0.71
ZJN414	0.78
ZJN415	0.78
ZJN416	0.59
ZJN417	0.69
ZJN418	0.66
ZJN421	0.59
ZJN425	0.66
ZJN426	0.6
ZJN427	0.53
ZJN430	0.77
ZJN434	0.67
ZJN440	0.65
ZJN441	0.7
ZJN449	0.67
ZJN450	0.61
ZJN454	0.65
ZJN455	0.77
ZJN456	0.68
ZJN457	0.51
ZJN459	0.69
ZJN467	0.86
ZJN468	0.82
ZJN469	0.66
ZJN472	0.68
ZJN474	0.67
ZJN476	0.51
ZJN477	0.66
ZJN479	0.59
ZJN480	0.91
ZJN483	0.71
ZJN484	0.8
ZJN485	0.53
ZJN486	0.87
ZJN487	0.71
ZJN489	0.56
ZJN490	0.57
ZJN492	0.75
ZJN495	0.53
ZJN500	0.86
ZJN503	0.86
ZJN504	0.53
ZJN513	0.66
ZJN521	0.9
ZJN523	0.69
ZJN524	0.71
ZJN525	0.83
ZJN527	0.68
ZJN534	0.84
ZJN536	0.76
ZJN538	0.63
ZJN540	0.77
ZJN544	0.63
ZJN557	0.64
ZJN568	0.75
ZJN569	0.84
ZJN581	0.77
ZJN582	0.64
ZJN583	0.62
ZJN598	0.83
ZJN601	0.66
ZJN602	0.93
ZJN611	0.59
ZJN612	0.61
ZJN613	0.76
ZJN614	0.86
ZJN615	0.7
ZJN622	0.83
ZJN625	0.8
